fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,18,MAHARASHTRA,1807,DHULE,247317,232.967848845241,9,14,0,109,259,28211,79627,3271,16816,12865,76623,0,185.505309,8122,13328,101977,286971,0,466038,975875,28320,185.505309,34849,91,56.29,55.67,100,NA
2025-2026,April,18,MAHARASHTRA,1810,PUNE,61459,1193.59568719792,10,1,0,159,935,18030,8069,335,8888,389,21423,0,96.311236,788,1271,51634,137298,0,385950,833868,18189,96.311236,3433,94,54.45,51.11,100,NA
2025-2026,April,18,MAHARASHTRA,1813,SOLAPUR,133828,662.693037974684,10,9,0,37,731,23665,19276,796,14204,129,2223,0,127.74071,1830,3088,87150,197997,0,573858,1004284,23702,127.74071,8163,97,68.28,68.28,100,NA
2025-2026,April,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,1753048,402.417701277256,10,127,0,242,643,73619,59346,1784,26587,2599,12615,69.30875,308.127559,5448,9714,238911,637603,0,697112,1485196,73861,238.818809,26365,94,53.14,50.48,100,NA
2025-2026,April,18,MAHARASHTRA,1816,JALNA,557645,509.931345700824,12,4,0,367,572,51428,27168,718,20364,137,3151,166.52546,305.063608,2194,4435,174430,457564,0,505186,1121044,51795,138.538148,12095,81,65.7,60.54,100,NA
2025-2026,April,18,MAHARASHTRA,1822,BULDHANA,140573,423.826129203227,9,9,0,324,572,30487,33962,1902,33352,413,7479,0,143.93983,3492,5210,129038,313592,0,494388,1031115,30811,143.93983,13768,94,32.82,31.43,100,NA
2025-2026,April,18,MAHARASHTRA,1829,CHANDRAPUR,794464,285.480225490505,10,103,0,928,314,27448,158765,13305,59949,35981,103551,86.87413,540.11681,14698,24219,167050,480953,0,387720,928258,28376,453.24268,77751,79,23.12,24.05,100,NA
2025-2026,April,18,MAHARASHTRA,1830,GADCHIROLI,552956,222.224164369515,12,158,0,642,216,21815,165785,12599,38805,60507,164744,35.49352,403.9078509,13066,22990,133137,386504,0,239173,610001,22457,368.4143309,77662,82,15.47,16.69,100,NA
2025-2026,April,18,MAHARASHTRA,1806,NASHIK,269575,232.514717475485,13,207,0,1296,542,53753,259535,4352,11060,133433,215894,0,603.457072,19711,34243,188343,529419,0,722697,1550138,55049,603.457072,116432,88,9.76,9.34,100,NA
2025-2026,April,18,MAHARASHTRA,1808,JALGAON,195437,282.609736462849,10,46,28.282765,734,449,39361,167225,8105,28775,14581,36957,0,500.8768968,15217,23225,140295,346756,0,684356,1299298,40095,472.5941318,72237,92,19.09,17.44,100,NA
2025-2026,April,18,MAHARASHTRA,1821,LATUR,704928,362.473669147109,10,5,0,76,549,30862,48916,4215,53125,478,4316,0,177.30762,4772,7360,134970,336522,0,410198,864085,30938,177.30762,21753,86,63.33,51.04,100,NA
2025-2026,April,18,MAHARASHTRA,1822,BULDHANA,140573,340.625283897467,10,23,0,326,404,31237,91054,5413,33514,1136,7522,0,310.152946,8698,13022,130096,316108,0,494622,1031643,31563,310.152946,36615,94,30.93,30.08,100,NA
2025-2026,April,18,MAHARASHTRA,1826,WARDHA,201417,312.174434516029,14,75,0,371,148,12411,84158,6463,15239,7900,14672,0.0545,262.7742606,5639,9167,56997,141225,0,226778,422562,12782,262.7197606,36138,87,46.35,46.12,100,NA
2025-2026,April,18,MAHARASHTRA,1827,NAGPUR,254320,410.855966371361,8,4,0,317,534,17533,11062,1127,31543,742,30890,9.54709,54.995977,1265,1657,98169,224923,0,287210,553649,17850,45.448887,5194,81,65.69,64.95,100,NA
2025-2026,April,18,MAHARASHTRA,1830,GADCHIROLI,552956,277.724920189949,13,270,0,804,114,22594,265756,20511,38928,92742,165177,35.49352,773.5641589,19987,35388,133614,387667,0,239596,610693,23398,738.0706389,124697,83,18.34,20.41,100,NA
2025-2026,April,18,MAHARASHTRA,1833,GONDIA,716388,283.644714015281,11,45,0,341,63,36761,379286,18383,51599,46932,90092,0,1075.82469,33610,51169,232681,602038,0,359763,850121,37102,1075.82469,192819,79,9.2,9.86,100,NA
2025-2026,April,18,MAHARASHTRA,1805,SINDHUDURG,50387,325.887933302166,10,26,0,149,162,16380,32085,675,2736,69,230,4.27666,108.8378034,2985,4696,30784,71329,0,131877,246888,16529,104.5611434,14127,88,40.74,35.34,100,NA
2025-2026,April,18,MAHARASHTRA,1807,DHULE,247317,267.432203566546,13,81,0,570,123,29494,258962,9735,17046,46138,78817,0,692.547783,19794,33187,104405,293511,2,503827,1027085,30064,692.547783,112646,91,53.53,53.12,100,NA
2025-2026,April,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,1753048,388.721605560585,13,428,0,296,355,75066,291624,7869,26785,7601,12735,69.30875,1202.914245,20845,38295,240211,640918,1,699321,1489642,75362,1133.605495,130172,94,64.34,59.27,100,NA
2025-2026,April,18,MAHARASHTRA,1817,PARBHANI,360149,759.918563500442,11,101,0,38,128,38179,210282,6870,20094,1084,2751,0,1597.9719537,17977,28390,151196,337260,0,434021,832499,38217,1597.9719537,86398,91,73.03,68.03,100,NA
2025-2026,April,18,MAHARASHTRA,1819,NANDED,465894,312.745302588578,11,83,1.424,374,655,45554,181451,20562,76263,13097,39481,0.66,569.563479,15865,25732,187120,492843,0,682809,1534025,45928,567.479479,81704,84,52.76,47.48,100,NA
2025-2026,April,18,MAHARASHTRA,1806,NASHIK,269575,276.8113848818,20,391,0,2183,279,58865,816539,11167,11336,461618,227219,0,2260.272914,40575,71478,195810,550001,17,737092,1572535,61048,2260.272914,371529,89,8.45,8.06,100.42,NA
2025-2026,April,18,MAHARASHTRA,1811,SATARA,95626,250.996825569775,12,80,0.89686,181,782,16396,133079,3844,10059,628,909,0,334.9209255,10823,16946,69205,156149,0,421578,802334,16577,334.0240655,65283,88,16.57,18.28,100.49,NA
2025-2026,April,18,MAHARASHTRA,1820,Dharashiv,303270,230.442503948084,12,32,0.69,97,499,19513,75353,3852,20597,280,1130,0,174.33534,6155,9501,76763,194578,0,330448,712243,19610,173.64534,33015,78,58.63,55.98,100,NA
2025-2026,April,18,MAHARASHTRA,1830,GADCHIROLI,552956,299.494555730256,17,427,0,2337,32,22857,588307,48157,39169,210496,166367,35.49352,1797.44095598,34280,61879,134693,390468,10,243314,617055,25194,1761.94743598,280159,84,21.47,26.81,100.05,NA
2025-2026,April,18,MAHARASHTRA,1802,THANE,57531,308.234028897994,17,41,0,63,112,13446,115925,2943,3770,52620,39872,10.3281,367.648398,6489,11372,32514,106408,3,147944,347949,13509,357.320298,59599,95,17.29,19.69,100.01,NA
2025-2026,April,18,MAHARASHTRA,1803,RAIGAD,21915,321.238277858177,13,18,0,280,508,18561,31786,924,2687,10302,15533,0,102.108799,2413,3974,28852,66573,0,199998,361216,18841,102.108799,15836,79,31.41,30.45,100.34,NA
2025-2026,April,18,MAHARASHTRA,1804,RATNAGIRI,59832,329.785074257936,10,47,0,380,354,19114,48547,1415,6450,438,1156,0,160.10076,4541,6635,51108,116681,0,260123,482394,19494,160.10076,23049,97,57.91,34.65,100.09,NA
2025-2026,April,18,MAHARASHTRA,1809,AHMEDNAGAR,210978,306.420414657158,16,101,0,751,215,38629,417598,19275,29685,23505,27721,0,1279.6055232,25701,44686,149279,435701,6,783512,1945029,39380,1279.6055232,181878,93,47.58,45.57,100.34,NA
2025-2026,April,18,MAHARASHTRA,1825,YAVATMAL,663682,331.671421985581,13,257,0,1312,186,51048,573958,29017,40051,66869,78913,0,1903.6546602,43389,65092,243654,545549,1,703512,1433556,52360,1903.6546602,257510,94,37.49,53.09,100,NA
2025-2026,April,18,MAHARASHTRA,1830,GADCHIROLI,552956,299.189207123303,16,416,0,1766,35,23237,555978,45572,39144,196343,166231,35.49352,1698.91968998,33118,59730,134584,390176,9,242828,616247,25003,1663.42616998,265255,84,21.01,26.36,100.05,NA
2025-2026,April,18,MAHARASHTRA,1831,NANDURBAR,204233,276.480635052109,16,48,1.14223,2109,89,37943,395999,6272,10604,328952,286664,0,1096.00278,24724,38146,149017,355324,0,544890,1103650,40052,1094.86055,179797,90,10.15,8.89,100.53,NA
2025-2026,April,18,MAHARASHTRA,1833,GONDIA,716388,250.885448583318,12,79,0,603,38,38128,687063,36266,51663,93350,90276,0,1723.7410896,54036,80927,233499,603735,0,362886,855124,38731,1723.7410896,377884,79,13.82,18.86,100.35,NA
2025-2026,May,18,MAHARASHTRA,1807,DHULE,660968,234.485448757038,15,114,0,823,110,30071,378813,14162,17174,70338,79867,0,888.261363,24135,40697,105497,296665,17,554566,1096684,30894,888.261363,164924,92,56.08,55.7,100.72,NA
2025-2026,May,18,MAHARASHTRA,1831,NANDURBAR,409762,271.755822567801,16,56,1.14223,2455,60,38461,468393,7665,10652,389453,288741,0,1274.02748,27929,43088,150086,357727,3,554857,1117381,40916,1272.88525,212844,90,9.74,8.55,100.69,NA
2025-2026,May,18,MAHARASHTRA,1807,DHULE,660968,240.644878139005,15,106,0,804,111,29930,351425,13271,17144,66458,79743,0,845.686263,23362,39377,105292,296134,13,549878,1090250,30734,845.686263,153067,92,54.78,54.39,100.61,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,290.743193733334,14,95,28.282765,1281,213,42294,492383,23855,29355,42772,38222,0,1459.8528246,32961,52310,145078,358422,11,686812,1304036,43575,1431.5700596,215101,92,24.07,23.36,101.04,NA
2025-2026,May,18,MAHARASHTRA,1809,AHMEDNAGAR,592580,300.613823038675,17,107,0,755,198,38976,480670,21479,29714,30887,27863,0,1444.9604632,28036,48882,149771,437205,12,788031,1953721,39731,1444.9604632,208480,93,48.2,46.3,100.4,NA
2025-2026,May,18,MAHARASHTRA,1820,Dharashiv,666423,186.625437055625,11,42,0.69,97,451,19720,119550,6022,20640,319,1130,0,223.80071,10293,16616,77167,195660,0,330855,712905,19817,223.11071,51411,78,63.91,61.83,100,NA
2025-2026,May,18,MAHARASHTRA,1826,WARDHA,487787,318.53156198589,19,114,2.03734,441,70,13296,198158,14349,15465,17239,14875,12.47766,645.7107726,10101,16569,58425,144541,6,229606,426596,13737,631.1957726,85126,88,48.57,48.34,100.23,NA
2025-2026,May,18,MAHARASHTRA,1829,CHANDRAPUR,2016952,291.250557265614,16,264,0,2317,83,29289,614339,53075,60383,141082,104539,86.87413,1876.139891,38345,64103,169021,485824,6,389816,931626,31606,1789.265761,309223,81,26.55,33.11,100.01,NA
2025-2026,May,18,MAHARASHTRA,1830,GADCHIROLI,1263319,298.904576599897,17,436,0,2707,26,22783,628134,50939,39185,224201,166515,35.49352,1913.01479318,35726,64598,134812,390762,10,243870,617926,25490,1877.52127318,298526,84,21.6,26.63,100.08,NA
2025-2026,April,18,MAHARASHTRA,1810,PUNE,61459,369.350720979155,13,17,0,285,611,19018,78435,3189,9040,10913,21839,0,289.700238,5869,9802,53390,141910,2,386604,835890,19303,289.700238,34899,94,37.44,34.53,101.67,NA
2025-2026,April,18,MAHARASHTRA,1813,SOLAPUR,133828,416.098717049994,12,42,0,106,480,24222,89871,3712,14373,838,2262,0,373.952078,6974,11794,88489,201227,0,575232,1008256,24328,373.952078,37834,97,59.39,59.36,102.61,NA
2025-2026,April,18,MAHARASHTRA,1814,KOLHAPUR,54096,291.808335221023,17,21,0,87,400,11273,122725,13163,18117,304,355,0,358.1217794,6983,11618,50684,124948,0,373778,675264,11360,358.1217794,56756,94,17.86,12.72,102.66,NA
2025-2026,April,18,MAHARASHTRA,1817,PARBHANI,360149,696.317107686225,11,111,0,39,128,38266,237737,7635,20113,1282,2753,0,1655.4034023,19884,31583,151360,337686,0,434187,832736,38305,1655.4034023,98215,91,73.75,69.06,100,NA
2025-2026,April,18,MAHARASHTRA,1824,AMRAVATI,938474,276.088907968058,15,406,0.28512,1251,118,48043,495654,43751,52231,169538,138922,0,1368.7308359,31106,56662,189347,535746,6,485278,1092140,49294,1368.4457159,218477,79,31.38,43.43,100.25,NA
2025-2026,April,18,MAHARASHTRA,1831,NANDURBAR,204233,276.097341904892,15,46,1.14223,1880,104,37753,350928,5466,10573,296300,285400,0,970.04511,22906,35309,148346,353754,0,542349,1099862,39633,968.90288,159562,90,9.65,8.8,100.22,NA
2025-2026,April,18,MAHARASHTRA,1814,KOLHAPUR,54096,300.594342676332,17,23,0,87,395,11297,129259,13298,18138,304,355,0,388.5452414,7264,12107,50830,125342,3,374507,676830,11384,388.5452414,59665,94,19.43,14.52,103.91,NA
2025-2026,April,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,1753048,301.413508344695,14,486,0,317,350,75532,380661,10042,26850,8908,12764,69.30875,1216.672425,25916,47850,240657,642176,9,701059,1492837,75849,1147.363675,169631,94,64.93,60.58,100,NA
2025-2026,April,18,MAHARASHTRA,1816,JALNA,557645,313.160337450757,14,43,0,483,483,48914,138598,4395,20406,874,3161,166.52546,600.5594245,9399,18140,174968,459054,3,510858,1129673,49397,434.0339645,61741,84,59.39,57.26,100,NA
2025-2026,April,18,MAHARASHTRA,1817,PARBHANI,360149,670.949886646402,12,112,0,41,125,38323,264835,8305,20123,1394,2752,0,1776.9101323,21342,33988,151464,337920,0,434558,833311,38364,1776.9101323,109535,91,74.21,69.66,100,NA
2025-2026,April,18,MAHARASHTRA,1821,LATUR,704928,233.947505572485,12,42,0,583,438,30995,185734,15145,53277,2033,4333,0,434.52006,14720,24149,135851,338292,1,411897,866780,31578,434.52006,81048,86,65.42,58.91,100,NA
2025-2026,April,18,MAHARASHTRA,1822,BULDHANA,140573,343.448220028835,11,46,0,661,296,32285,180340,11152,33823,3494,7605,0,619.37452,16359,24196,131842,320319,0,495788,1034040,32946,619.37452,70682,95,29.66,29.36,100,NA
2025-2026,April,18,MAHARASHTRA,1826,WARDHA,201417,323.538287322684,18,106,2.03734,417,81,13017,160941,11889,15414,14297,14828,12.47766,535.220755,8797,14294,57976,143559,5,228440,425097,13434,520.705755,68747,88,46.95,46.68,100.08,NA
2025-2026,April,18,MAHARASHTRA,1829,CHANDRAPUR,794464,288.742210261778,14,231,0,1470,110,29327,493014,42506,60260,115281,104348,86.87413,1510.4136505,33019,54880,168530,484736,4,388805,930195,30797,1423.5395205,245721,81,26.78,32.23,100,NA
2025-2026,May,18,MAHARASHTRA,1802,THANE,128319,304.675634302742,19,44,0,63,106,13607,136922,3521,3784,62164,40192,10.3281,427.496072,7130,12541,32780,107238,9,149267,349738,13670,417.167972,70217,95,18.87,20.78,100.01,NA
2025-2026,May,18,MAHARASHTRA,1806,NASHIK,685544,276.286670840828,20,402,0,2194,260,59421,878420,11870,11355,501737,228126,0,2426.957374,42202,74487,196450,551731,24,742546,1579836,61615,2426.957374,399633,89,8.83,8.45,100.39,NA
2025-2026,May,18,MAHARASHTRA,1810,PUNE,136145,358.054532257294,14,18,0,311,548,19348,104705,3919,9086,15153,22106,0,374.900998,7267,12145,54038,143637,4,387870,838362,19659,374.900998,46708,94,36.44,34.12,101.58,NA
2025-2026,May,18,MAHARASHTRA,1819,NANDED,1518128,310.433509964889,13,125,1.424,675,456,46241,395890,39151,76799,26414,39939,0.66,1231.0592226,29609,48678,189106,497539,1,685895,1538368,46916,1228.9752226,177138,84,59.73,56.49,100.06,NA
2025-2026,May,18,MAHARASHTRA,1821,LATUR,1718059,268.772184093071,14,70,0,721,274,31478,341675,24967,53378,4010,4355,0,918.32736,24349,40177,136701,340034,1,413626,869361,32199,918.32736,148214,86,69.18,63.73,100,NA
2025-2026,May,18,MAHARASHTRA,1832,WASHIM,1042727,309.322624509616,14,365,0,54,81,29176,463157,31510,22891,14140,8879,5.28849,1437.937878,32116,51713,106731,246535,0,302150,595927,29230,1432.649388,207942,92,75.7,75.92,100,NA
2025-2026,May,18,MAHARASHTRA,1833,GONDIA,2409274,246.879416411751,12,95,0,621,34,38414,764306,41085,51688,103196,90305,0,1886.9141924,59989,89416,233664,603999,0,365622,859162,39035,1886.9141924,425279,80,14.61,20.06,100.33,NA
2025-2026,May,18,MAHARASHTRA,1834,HINGOLI,890870,306.097912516181,15,60,0,85,92,22876,364616,43016,44341,53147,43001,0,1116.0819647,24181,40605,96766,247116,4,274765,616759,22961,1116.0819647,156865,90,81.98,76.54,100.02,NA
2025-2026,May,18,MAHARASHTRA,1807,DHULE,660968,337.586810249608,17,119,0,1028,88,30471,446339,16372,17164,82897,80186,0,1506.781593,26021,43740,105896,297462,40,572779,1121549,31499,1506.781593,194761,92,55.68,55.21,102.09,NA
2025-2026,May,18,MAHARASHTRA,1824,AMRAVATI,2369554,320.90915200735,24,712,0.28512,3316,48,47521,1214586,102535,52568,484638,139484,0,3898.00275299999,49918,96211,191271,540964,352,498664,1110741,50837,3897.71763299999,547163,80,33.72,56.45,100.42,NA
2025-2026,May,18,MAHARASHTRA,1827,NAGPUR,599328,295.191773904818,15,68,0,582,188,18927,196634,21316,32004,19841,31316,9.54709,589.9944827,12745,18377,99862,228820,2,297464,567975,19509,580.4473927,87364,83,40.92,41.13,100.01,NA
2025-2026,May,18,MAHARASHTRA,1829,CHANDRAPUR,2016952,297.059233808332,18,339,0,3939,50,29004,912213,81871,60515,206646,104884,86.87413,2796.6870785,48663,81773,169894,487666,32,394003,938322,32943,2709.8129485,465421,82,27.96,37.29,100.04,NA
2025-2026,May,18,MAHARASHTRA,1805,SINDHUDURG,133775,320.68672460826,12,39,0,285,106,16620,63052,1114,2759,212,232,4.27666,206.4760536,5143,8143,31456,72781,0,132342,247555,16905,202.1993936,27311,88,45.55,42.51,100.02,NA
2025-2026,May,18,MAHARASHTRA,1811,SATARA,235552,301.673774767182,12,83,0.89686,187,655,16605,144748,4294,10074,688,910,0,437.5636155,11526,18073,69501,156890,0,422390,803956,16792,436.6667555,70804,88,16.89,18.87,103.18,NA
2025-2026,May,18,MAHARASHTRA,1813,SOLAPUR,345588,321.626258601736,13,70,0,380,387,24026,164647,6813,14543,1588,2316,0,529.547986,11853,20086,89897,204618,1,583156,1022206,24406,529.547986,68430,97,60.55,60.45,102.54,NA
2025-2026,May,18,MAHARASHTRA,1816,JALNA,1561678,293.996943784189,12,136,0,578,291,49966,368544,11043,20542,2705,3212,166.52546,1250.0335565,28624,50896,176654,462808,16,520485,1143462,50544,1083.5080965,163452,85,67.34,66.22,100.48,NA
2025-2026,May,18,MAHARASHTRA,1817,PARBHANI,1355836,507.673475336942,14,179,0,186,97,39092,470481,14343,20208,2107,2780,0,2388.5072435,31937,51565,152730,340414,12,436853,836621,39278,2388.5072435,195534,91,74.35,70.8,100.62,NA
2025-2026,May,18,MAHARASHTRA,1819,NANDED,1518128,298.956999053886,14,131,1.424,763,413,46597,470345,46366,76972,32585,40022,0.66,1408.2132972,33171,54771,189664,498907,1,687242,1540199,47360,1406.1292972,210655,85,62.08,59.18,100.05,NA
2025-2026,May,18,MAHARASHTRA,1823,AKOLA,460571,296.368649405752,15,1157,0,1463,32,37459,488348,54965,37231,18652,11580,29.63529,1476.945662,32309,50025,98290,225727,19,318284,609647,38922,1447.310372,197938,93,40.97,42.05,100.05,NA
2025-2026,May,18,MAHARASHTRA,1824,AMRAVATI,2369554,260.965794420833,20,578,0.28512,2251,84,48452,851740,72983,52417,334789,139217,0,2223.0351774,42222,80527,190279,538345,74,491507,1100919,50703,2222.7500574,382555,80,32.68,52.37,100.24,NA
2025-2026,May,18,MAHARASHTRA,1828,BHANDARA,2408874,206.476619233897,13,1513,0,706,111,16348,493119,55964,57183,39291,31850,22.51124,1040.68668,36166,58319,181373,437532,1,302741,653170,17054,1018.17544,285963,79,16.14,35.11,100.04,NA
2025-2026,May,18,MAHARASHTRA,1802,THANE,128319,302.857382613615,21,50,0,88,95,13897,169696,4264,3816,76176,40768,10.3281,524.264964,8073,14187,33231,108567,15,150687,351674,13985,513.936864,87101,96,20.83,22.73,100.02,NA
2025-2026,May,18,MAHARASHTRA,1806,NASHIK,685544,274.223435812401,21,448,0,3220,237,59884,1024014,13790,11429,571209,230002,0,2808.086374,46610,82200,198121,556232,36,753950,1595786,63104,2808.086374,464719,90,9.54,8.76,100.63,NA
2025-2026,May,18,MAHARASHTRA,1808,JALGAON,478285,276.020169555406,16,111,28.282765,1432,191,42776,639437,30349,29567,54666,38742,0,1793.2578566,38506,61526,146865,362561,33,691457,1310333,44208,1764.9750916,278986,93,28.64,27.95,101.55,NA
2025-2026,May,18,MAHARASHTRA,1809,AHMEDNAGAR,592580,284.19735255871,19,131,0,1003,169,39547,635965,28184,29866,35879,28067,0,1807.3956932,33143,58599,151051,440990,43,792025,1961693,40550,1807.3956932,276556,94,52.22,50.04,100.58,NA
2025-2026,May,18,MAHARASHTRA,1811,SATARA,235552,293.720019541743,12,84,0.89686,210,655,16693,148912,4456,10082,688,910,0,438.2812155,11751,18450,69589,157102,0,422893,805020,16903,437.3843555,72782,88,16.49,18.98,103.18,NA
2025-2026,May,18,MAHARASHTRA,1822,BULDHANA,417104,323.739922739531,12,73,0,815,212,33137,282939,18138,34017,5722,7671,0,915.9865,23287,34964,133219,323422,0,497768,1037725,33952,915.9865,112456,95,39.25,38.68,100,NA
2025-2026,May,18,MAHARASHTRA,1824,AMRAVATI,2369554,271.321316974947,22,668,0.28512,2636,76,48480,1009146,86851,52497,403448,139284,0,2738.3133374,45227,87088,190589,539172,176,493347,1103501,51116,2738.0282174,454863,80,32.88,55.06,100.27,NA
2025-2026,May,18,MAHARASHTRA,1831,NANDURBAR,409762,277.835187578848,17,59,1.14223,2565,53,39006,516023,8422,10701,427403,290203,0,1434.8357,30230,46672,150875,359485,4,565481,1130703,41571,1433.69347,234648,90,10.91,9.77,101.27,NA
2025-2026,May,18,MAHARASHTRA,1833,GONDIA,2409274,243.82746537863,13,126,0,811,25,39465,1038376,62138,51754,146185,90385,0,2531.8458819,74865,111898,234233,605053,4,369466,865291,40276,2531.8458819,603397,80,15.86,25.9,102.42,NA
2025-2026,May,18,MAHARASHTRA,1835,PALGHAR,1452456,288.292426791106,17,541,63.8034937,1710,45,53616,966679,2683,1953,898284,366235,13.226,2863.89184208,56020,101276,141097,409042,44,334799,775381,55326,2786.86234838,527128,89,13.68,26.56,100.2,NA
2025-2026,May,18,MAHARASHTRA,1810,PUNE,136145,364.410487823498,15,26,0,387,493,19668,130990,4767,9147,18167,22150,1.155,478.496298,8384,14002,54512,144924,6,391399,845117,20055,477.341298,58404,94,39.27,35.97,101.45,NA
2025-2026,May,18,MAHARASHTRA,1813,SOLAPUR,345588,329.765884530759,15,95,0,436,310,24664,246334,9575,14657,2356,2335,0.329,812.654494,15720,26696,91269,207824,7,588587,1032283,25100,812.325494,102418,97,61.59,61.51,102.93,NA
2025-2026,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,4370122,301.14598284917,17,565,0,958,150,76814,682999,18048,26979,12904,12845,79.50852,2136.3325714,38964,72128,242156,646144,51,710045,1508989,77772,2056.8240514,305982,94,66.33,61.48,102.87,NA
2025-2026,May,18,MAHARASHTRA,1816,JALNA,1561678,302.902524211393,14,178,0,864,207,50397,568534,15700,20617,3626,3242,166.52546,1888.629297,40012,70132,177710,464939,32,528541,1155187,51261,1722.103837,252654,85,70.23,69.31,100.29,NA
2025-2026,May,18,MAHARASHTRA,1817,PARBHANI,1355836,442.651718632736,17,207,41.98825,246,83,39691,668898,19974,20296,3242,2790,0,3002.8767429,38998,63174,153669,342211,58,438903,839378,39937,2960.8884929,279150,91,73.73,70.7,100.66,NA
2025-2026,May,18,MAHARASHTRA,1829,CHANDRAPUR,2016952,300.120056374337,18,336,0,3788,50,29146,899168,80030,60511,204367,104876,86.87413,2785.4576385,47955,80592,169858,487593,31,393471,937360,32934,2698.5835085,457793,82,27.8,36.85,100.04,NA
2025-2026,May,18,MAHARASHTRA,1835,PALGHAR,1452456,303.168632022263,18,567,63.8034937,1742,41,53790,1063279,2961,1954,987874,367461,13.226,3300.55789258,58918,106814,141607,410441,86,336282,777932,55532,3223.52839888,580074,89,9.6,19.21,100.21,NA
2025-2026,May,18,MAHARASHTRA,1805,SINDHUDURG,133775,314.036645005464,13,49,0,360,86,16740,86945,1821,2769,255,233,4.27666,277.315821,6258,9851,31808,73462,1,132580,247973,17100,273.039161,37549,88,51.1,48.76,100.01,NA
2025-2026,May,18,MAHARASHTRA,1813,SOLAPUR,345588,322.474519214717,15,95,0,436,324,24620,239608,9223,14651,2242,2334,0.329,773.003746,15522,26373,91189,207601,7,587521,1030344,25056,772.674746,99548,97,61.45,61.38,103.05,NA
2025-2026,May,18,MAHARASHTRA,1811,SATARA,235552,294.73736539576,12,84,0.89686,193,655,16705,148398,4407,10082,688,910,0,438.2812155,11742,18431,69588,157091,0,422711,804619,16898,437.3843555,72526,88,16.5,18.94,103.18,NA
2025-2026,May,18,MAHARASHTRA,1823,AKOLA,460571,300.796571091441,15,1165,0,1467,31,37561,511883,57426,37260,19527,11584,29.63529,1569.361802,32978,51049,98479,226110,25,320075,612269,39028,1539.726512,207740,93,41.17,42.19,100.05,NA
2025-2026,May,18,MAHARASHTRA,1825,YAVATMAL,1838884,317.967058607573,15,351,0,1641,123,52677,950628,46668,40295,105564,79744,0,3022.6838899,62235,93863,246609,551868,9,706341,1438329,54318,3022.6838899,424705,94,42.02,58.94,100.01,NA
2025-2026,May,18,MAHARASHTRA,1827,NAGPUR,599328,284.971937752397,13,47,0,489,254,18598,136937,14661,31873,13500,31187,9.54709,399.7791124,10146,14480,99430,227833,0,294268,563720,19087,390.2320224,60335,82,48.27,48.49,100.01,NA
2025-2026,May,18,MAHARASHTRA,1832,WASHIM,1042727,311.819405552618,15,421,0,80,61,29384,552244,36591,22975,16300,8914,5.28849,1727.292448,35335,57199,107155,247462,1,303079,597529,29464,1722.003958,247604,92,76.7,76.9,100,NA
2025-2026,May,18,MAHARASHTRA,1805,SINDHUDURG,133775,311.199709066907,13,48,0,335,92,16721,78781,1562,2768,255,233,4.27666,249.4429028,5989,9428,31710,73269,1,132533,247879,17056,245.1662428,34033,88,49.68,46.55,100.02,NA
2025-2026,May,18,MAHARASHTRA,1822,BULDHANA,417104,323.969702631718,12,73,0,815,211,33139,283655,18138,34018,5722,7671,0,918.95626,23339,35052,133227,323456,0,497874,1037941,33954,918.95626,112770,95,39.2,38.64,100,NA
2025-2026,May,18,MAHARASHTRA,1830,GADCHIROLI,1263319,299.030494008122,19,512,0,3719,13,22744,821946,66356,39246,297795,167119,35.49352,2493.36270428,41638,75621,135395,392197,33,245962,621327,26463,2457.86918428,392711,85,22.82,28.93,100.17,NA
2025-2026,May,18,MAHARASHTRA,1802,THANE,128319,302.739945813784,23,54,0,129,80,14188,211862,5495,3863,92715,41223,10.3281,651.719004,9049,15991,33634,109999,32,154517,357431,14317,641.390904,108315,96,21.34,23.05,100.39,NA
2025-2026,May,18,MAHARASHTRA,1812,SANGLI,136576,302.315704887267,20,34,0.57024,1548,133,10973,192889,8269,7554,562,222,0,583.70398,9486,14790,48254,104687,5,326233,575943,12521,583.13374,79212,91,20.78,17.09,100.02,NA
